account_id,credit_score
0x00000000000039bb9ad99adf9e58161e6b2907f8,11.33
0x000000000000bb1b11e5ac8099e92e366b64c133,80.45
0x000000000000da32185407441b46e41867606d19,71.63
0x00000000032962b51589768828ad878876299e14,81.05
0x00000000b083504037aa01c2d7297f6d459d5fc3,67.03
0x00000004c466c98c26be4e4e7228001f1fed91c0,71.65
0x00000015e180b01c40b881e10774bc784bb6f4eb,71.19
0x0000006fe7000580760dc706e4a1d5bed5f732ea,71.76
0x000000b9054e79892a1097f4e02e7aa42de22c0c,0.0
0x000000c77ab4952aa5c43ee8047bca9ca7265b3d,42.54
0x000001ac4e512d670c34fedf6c71ce2f49fb160a,72.74
0x0000030d7a7c4888851f35705b0852cf20ac1ba6,29.96
0x000005c42f532023064996a3c97940f075c8fd05,71.51
0x00000655388d579492cf53ca6f490eaa30711112,66.08
0x00001e52eae2f7305b198b9e4f2c64fb1102de11,71.67
0x000028e64893927a6c57981c90598994ba37e023,71.65
0x00003fcac5ecedca580ce31f57e92822d9f74747,73.86
0x000088842568b4448f6b05a6b12e2e9b29229fba,71.95
0x0000cd00001700b10049dfc947103e00e1c62683,75.2
0x0001cdff873bd3586b526889908250a02db98b70,71.67
0x0001e25174e2d639d9b414ffb9211513ad7d7925,71.73
0x000250150f8fc5030700090ac5f9006fa3a40134,48.37
0x0002baa2408311a9f23baac9ec62c8857f4b3f88,44.16
0x0003cd1707046b501b98814beaad4a1c7030ed89,29.96
0x0004b7cd3ce84602b6c40ef96d56ef1898e51000,72.16
0x0004cf2ceba60df17417c26067f1fccb367b9000,72.04
0x00051268e0bf4245c230ebff9c7735b5f3f79857,71.69
0x000658c8ad3b333e9e4937732f45dd6b322c852e,70.12
0x000659ddfd432dd7bb50bbda04883f9809a8f4f5,71.87
0x0006738efc0c0c50fc46e237d553347959e802b0,71.88
0x0006f76a2e808da5d94e411819cdd1f6c65a5288,72.17
0x00071508db163ee69814aad31562f44b787c2d4d,72.37
0x000795382d986f3717963d9488ccb54517e809e6,72.38
0x000a99532e11ad7b06c26ceade3655ed64f68467,29.96
0x000b2d85dccff3db1c5aaad2ef9698fce95f4db9,76.84
0x000d0b5210dcaaa7073ac91d2634f5261d392ff3,60.57
0x000d774f5fe948c3294f3c09c08e2c0d603374c8,72.96
0x000f9764a2c9345df184d19a2cb935a0857af000,72.94
0x000fb50d2e271daa7bbecf03dff99e33b7fad508,71.76
0x000fe38f07584839bd8f437c20b4cd0d7de5e983,49.66
0x001005306685021a4edaf9de69c9b5b2a34c4caa,71.65
0x00100685e40032e47014db548cb76749397f25b0,71.63
0x00100cb90df8a36aafb18fbe2bbed1be58292f68,71.74
0x00103369c5fe326f319a9a7f8d89912317c93e38,71.74
0x00106a2bbe757db682968951aca7b513bbe3a2d8,71.74
0x001072f7e8da51691f8c0b7edcc9510065c8de78,71.74
0x0010771d188c12bc207c71b1a66b92c31d8f9888,71.74
0x001085ea88ad85f3a3eb23b9fc3ddafc08361958,71.74
0x0010979f66c7a0a8d27ee5fbe216dcba6b152998,71.74
0x001099e93db8d9401b11685fe341cc5e19fdf8fe,39.07
0x0011052739effe3aeeb826afa1a6ca9d2e5f6e18,71.74
0x0011225a3955cb37f82701293a97160a378762a8,71.74
0x00112e159f8bbc10fb919a1bdded681b2bcad0a8,71.74
0x001132ff7cea79df59cecede3e70006ae36f9cb8,71.74
0x0011399bbce66ea83d2aa91ed517f5dc0fe75888,71.74
0x001166f7fb0c31cfa50c13733613f58166708888,71.74
0x001167e0db8336ed9d5d9bd0d316b0d8891cc018,71.74
0x00116bc89e8fbe86d8303220ff71e1d95b23f1d8,71.74
0x001198a08def2498cebe678b88b0529e5f91dac1,71.63
0x0011ac2b98330cbe23318855e207dc5b3f6ae0d8,71.74
0x0011c2be2cd153398235c752b626ad86f623ccc8,71.74
0x0011e2e5ff9021f87778dfdcc3258175908aa928,71.74
0x0011f217637d55fd1dcee76cae86223ce2318e98,71.74
0x0011f2df8521930a0679eaf2a07973b211350358,71.74
0x0012181f3569956ff07625f1eab25ac7d61d6108,71.74
0x001219fb95e958213bf895758d08caa5d18eff28,71.74
0x0012389d4b1f93f5fc6eff53216afc73ff0b3dd9,72.4
0x00123e1ed70c6f567f8b3a727a28ef99e7e330b8,71.74
0x001255c5b6e73ecb9daf2efd8761a13e8d1cfe95,73.38
0x00127753360bd0af5f208b52a5027f9fda2a1b58,71.74
0x00127f52f752f517165b220d32d9e573b9bf8db8,71.74
0x0012b1f15119f81aedd1aa7fba651aa0ada25338,71.74
0x001310b1f0fcb01350b137d75cce10265b0e7ca8,71.74
0x0013371acd5bb2921f777311eefbb60ae0e019e8,71.74
0x00136d3a6a07c6a9032e51a75e623fb36b9863c8,71.74
0x001376f83d9caedfa7ff3131257a61c78ea28cb8,71.74
0x001377f66a968d21197b50a7e821cbef10560888,71.74
0x001378b835ad2869f59aaa8887bc156070e5d888,71.74
0x0013aa9a98a2ffe77657af28c73f22f03fe09a88,71.74
0x0013ab9986536c9f9eb26bd3a80085beb9b2fd68,71.74
0x0013d63d1ce101f3e5478143c44ce5156f5de641,71.63
0x0014ea9bbe130c8af7f00c8e61fc07368bdaaf7d,71.63
0x001521a296656a6aed2aa0c3e2ad6562ee5f8de8,71.74
0x00152c9ec06e31393df0ac69218e5c0be9ace238,71.74
0x001560d8319f17829ef2d2c1563760fc6c813588,71.74
0x00157a5602065e1907fd66f27e0b61b7033fb358,71.74
0x00159370cbe576b765a7fb2e78582e0cb563d445,50.91
0x00159fe910e8951059b996bfd80a83ad390b0378,71.74
0x0015cd77e9106e5b3f6c526da0b901d906e795d8,71.74
0x0015e893d9b30d88b0e8f1e06bf6d33be850ead8,71.74
0x001602d698b19be2f5ae7fe7d13b38e18da2d058,71.74
0x001618a121ae653ef375ccdbd56161ac0bfb2d78,71.74
0x00163b166c1d337d3e5d30a2890eee5199c05ce8,71.74
0x00166eb0a230fa9edae20a36cfbc9ffbd3c7fea8,71.74
0x0016975295a5081a9c131c01d5bf15c929305f58,71.74
0x0016ac3d31bad6b5b8c2c8083d617b1ce07eb7f8,71.74
0x0016b5a6cabfa397edfd805c7c1969a68732e828,71.74
0x0016bbf922973b39f0833320ba36c20116270888,71.74
0x0016d25e3ee2a7a95cd5ee713c2fdb83dca90888,71.74
0x0016e2a867961c16c12f77c9bcbc59f8851bf268,71.74
0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,82.33
0x00175dfbd0e3cd9c39a8678cad93062d62f018f8,71.74
0x0017a2d60d1dce590d5122f898529653d7c8b718,71.74
0x0017f54e224808f0577847a18f1ae9c1cbea985a,71.74
0x001810bcf6fa21cb22c820a69ba6a0b7ca6866b8,71.74
0x0018190afe97b62e1e8511bfedcf7bc06735b5d8,71.74
0x00185c1e669a1dad91c5bff2a3b1937b8e3efd58,71.74
0x00187efd9fc3f805fea091a1590fbbc2585d6c58,71.74
0x001885e225bbadd85b77f8bcbdac225217ac6198,71.74
0x0018c06d6287a7377c728535ffc07fb80c030888,71.75
0x0018d2e517b8e93e1c9854bac2f551aa710eb74a,54.08
0x0018ea4bab28d0737a77164d2331790c49ce0734,70.04
0x00195989119a6830cddb9c228bebfecfcb6c3888,71.75
0x00195ab68363bb7b8f501291c62297bdd67f0de8,71.74
0x001966b6d0b8656feac23a2a297a09dd8bfd6888,71.75
0x0019898ce55aaf21e9efdb9cba7c9369361faf18,71.74
0x0019aefb181b9f0b8f66907d31e10ec95c961898,71.74
0x0019c576b1a658f881503ffd212f1debaa9f1288,71.74
0x0019d8187f7b37ba198ad0691f3d6c9ef051b988,71.74
0x001a0d2f79085f1610ff30b2e66af9ee0f76dcb8,71.74
0x001a10301aa0cd8f570ce9a2ae2bee0871f35888,71.74
0x001a1ab1c22b2dad70a61bc2e62c6e7c7a1e8898,71.74
0x001a2192b20d0708385affb009571a8602e01e68,71.74
0x001a6120b078d1b88563506f1ef1b0a52833a168,71.74
0x001a61ecef06eabca1718a589fe31a502c3a3888,71.75
0x001aaa62d5b8600176d7d1021d960eb3387c2a88,71.74
0x001b06a51289f18232c72a11df88163dfa2f3508,71.74
0x001b151fa3d8b03c5a7560e01277e07c6a7e1078,71.74
0x001b280c6d570ac06c99b0256ac15b80a7a68ff8,71.74
0x001b29c32d1c5caa01352fa9b50d5767bad20888,71.74
0x001b52ffe350f36383d0bc63c2a1aafbc7032b38,71.74
0x001b5cf8dbef325513a0a81b35e23f8df1571b78,71.74
0x001b5de07fe76552cc1f305287337f02ed50cd28,71.74
0x001b88d59df0301bd23698b3aca90608cff60888,71.75
0x001bae6078e09f8d156b2d8d7f5c7ff660ffb898,71.74
0x001bbe9cb3abb06713069a393e68e0f0751ffa38,71.74
0x001bc88620e9b758858809c8a1902ef169c15b08,71.74
0x001bf5f51453e74aa44de9ee47f9deb6e896ca29,74.65
0x001c1511526ad1060d6f6170bcde21f17cf11c18,71.74
0x001c1bc89269c31270f167506cac1d2ecfd8c888,71.75
0x001c21306869d1710533ccb5df5b30a6d5fa6d78,71.74
0x001c2f18a1906a3dc522dda7339988ca8ff18df8,71.74
